datalen_bytes,pub_count,sub_count,best_effort,multicast,durability,mean_latency_us,mean_total_throughput_mbps,mean_sample_rate,samples_received,samples_lost
100,1,75,True,True,3,5151.156982836679,1386.3554621848739,1732900.7865546218,1034605981.0,1445235070.0
100,1,75,True,False,0,307.8376610583553,254.16218487394957,317438.4588235294,189231433.0,137.0
100,1,75,True,False,1,321.60756717965074,251.4097478991597,313908.2521008403,187100976.0,247.0
100,1,75,True,False,2,321.7302336652517,252.95210084033613,315312.8050420168,187939841.0,102.0
100,1,75,True,False,3,318.86634216406003,250.8998319327731,313488.4117647059,186884462.0,871.0
100,1,75,False,True,0,1076.824333361197,717.8070588235294,897205.1226890757,535339410.0,0.0
100,1,75,False,True,1,1067.5388059911004,712.6028571428571,890652.5327731093,531356126.0,0.0
100,1,75,False,True,2,1145.8660030099272,724.4166386554622,905485.5680672269,540238873.0,0.0
100,1,75,False,True,3,1125.3184421975318,443.4714285714286,554379.5394957983,330834491.0,0.0
100,1,75,False,False,0,5244.917378917379,196.653781512605,245776.81848739495,146607612.0,0.0
100,1,75,False,False,1,5205.340574244481,199.0035294117647,248654.46722689076,148392689.0,0.0
100,1,75,False,False,2,5106.886679324472,200.52840336134452,250339.68235294116,149329033.0,0.0
100,1,75,False,False,3,5397.507205352547,194.3057142857143,242950.17983193276,145021470.0,0.0
100,25,10,True,True,0,10922.743429286607,146.3583193277311,182935.7831932773,109432925.0,1392536451.0
100,25,10,True,True,1,12328.93918918919,148.15176470588239,185178.9294117647,111042127.0,1363422550.0
100,25,10,True,True,2,12063.133333333333,151.14000000000001,188921.25546218487,113176034.0,1368893918.0
100,25,10,True,True,3,11746.44276094276,148.54177852348994,185670.74161073825,111533745.0,1349790663.0
100,25,10,True,False,0,5078.300702811245,261.6242424242424,327028.6212121212,195257423.0,636864330.0
100,25,10,True,False,1,4885.509338036937,272.74823529411765,340922.6336134454,204130023.0,612795008.0
100,25,10,True,False,2,4934.803696443573,273.5809764309765,341972.734006734,204265552.0,602950522.0
100,25,10,True,False,3,5032.23087431694,269.3035353535354,336619.18855218857,201299274.0,616696755.0
100,25,10,False,True,0,5334.601673410602,475.6093959731544,594510.350671141,355391740.0,0.0
100,25,10,False,True,1,6506.097536587583,400.3229480737018,500401.11557788943,299562443.0,0.0
100,25,10,False,True,2,6643.510632370694,394.28672268907565,492862.49915966386,293870271.0,0.0
100,25,10,False,True,3,6767.950824175824,396.4072147651007,495505.5436241611,296189386.0,0.0
100,25,10,False,False,0,4336.321783377756,446.3894117647059,557978.3596638655,333035060.0,0.0
100,25,10,False,False,1,4512.225115226005,449.0726510067115,561336.1526845638,335479234.0,0.0
100,25,10,False,False,2,4321.062936514165,453.403355704698,566742.312080537,338613111.0,0.0
100,25,10,False,False,3,4427.248665444985,450.71308724832215,563385.4647651006,336586032.0,0.0
100,25,1,True,True,0,27450.291666666668,20.409259259259258,25515.195286195285,15298085.0,729877380.0
100,25,1,True,True,2,26962.278846153848,12.827104377104378,16035.277777777777,9592974.0,704082356.0
100,25,1,True,False,0,17183.748309178744,28.98600337268128,36232.4586846543,21619192.0,844647041.0
100,25,1,True,False,1,16248.374316342157,23.5043844856661,29379.392917369307,17545037.0,814550281.0
100,25,1,True,False,2,16949.05980952381,23.95774410774411,29947.33164983165,17967869.0,808504891.0
100,25,1,True,False,3,10852.625,29.80994940978078,37263.35919055649,22474000.0,802910645.0
100,25,1,False,True,0,6592.886394580414,117.13159663865547,146415.78151260506,87429422.0,0.0
100,25,1,False,True,1,6562.798081406968,114.61222780569514,143263.33835845898,85839775.0,0.0
100,25,1,False,True,2,6764.004874430433,110.129243697479,137662.38655462186,82190726.0,0.0
100,25,1,False,True,3,6847.9396990287805,107.95781512605042,134947.2806722689,80601783.0,0.0
